id_str,text,created_at,place
1.24328E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:49,None
1.24328E+18,NU President Ted Carter said Thursday the university would grant an additional 80 hours of emergency leave to all e,2020-03-26 20:49,None
1.24328E+18,RT    I hope that  COVID19 serves as a reminder that Canada s public health system requires massive investments  and a strengt,2020-03-26 20:49,None
1.24328E+18,RT     The Vice Chancellor can t ignore his own survey data  though   Wanna bet   Report shows the depth of unhappiness of Cardif,2020-03-26 20:49,None
1.24328E+18,RT    Who the F amp  amp   cares  There s a pandemic on  Oh I forgot  Ideological causes don t stop during a pandemic for the UCP  s,2020-03-26 20:48,None
1.24328E+18,RT     Younger vulnerable kids with emotional or learning difficulties who are in stressed out families  need to see  amp  hear the,2020-03-26 20:47,None
1.24328E+18,RT    We encourage students to familiarize themselves with the full Howard University Student Association proposal regarding,2020-03-26 20:47,None
1.24328E+18,I have to find 650  asap to purchase a laptop then ill be able to join my university s online courses,2020-03-26 20:46,None
1.24328E+18,RT                         Why there is no direct and complete decision about the education in Egypt during the  COVID2019 e,2020-03-26 20:46,None
1.24328E+18,Florida Atlantic University is offering a FREE certificate in Hospitality and Tourism Management  The 15 hour cours,2020-03-26 20:46,None
1.24328E+18,This could be an  education operating system  which equips you as you progress through life  Yo,2020-03-26 20:46,None
1.24328E+18,RT   thefirst   CamonCEO  ClearDaynNight  The first 3 pictures are Sola Akinriade Central library  Osun state university  the next 2 a,2020-03-26 20:46,None
1.24328E+18,RT    I hope that  COVID19 serves as a reminder that Canada s public health system requires massive investments  and a strengt,2020-03-26 20:46,None
1.24328E+18,RT    Who the F amp  amp   cares  There s a pandemic on  Oh I forgot  Ideological causes don t stop during a pandemic for the UCP  s,2020-03-26 20:45,None
1.24328E+18,RT    How to keep students on top of their studies while protective pandemic measures are keeping them out of school is one of t,2020-03-26 20:45,None
1.24328E+18,RT    Online classes are just to cover the courses at university s end  In technical degrees where healthy questioning for u,2020-03-26 20:45,None
1.24328E+18,RT    NCAA announces lowers payments to colleges and universities  Ohio University pauses personnel cuts and more updates her,2020-03-26 20:44,None
1.24328E+18,Yuin University    crowdfund campaign needs your support  education  Compton,2020-03-26 20:44,None
1.24328E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:43,None
1.24328E+18,RT    We encourage students to familiarize themselves with the full Howard University Student Association proposal regarding,2020-03-26 20:43,None
1.24328E+18,RT    My university asked us all to identify  alternate instructors  for our courses in the event one of us gets too sick to teac,2020-03-26 20:41,None
1.24328E+18,RT    Only essential services to be available    SCHOOLS  COLLEGES  UNIVERSITY all type of EDUCATION is missing from the ESSENTIAL,2020-03-26 20:40,None
1.24328E+18,RT    Who the F amp  amp   cares  There s a pandemic on  Oh I forgot  Ideological causes don t stop during a pandemic for the UCP  s,2020-03-26 20:39,None
1.24328E+18,RT    Only essential services to be available    SCHOOLS  COLLEGES  UNIVERSITY all type of EDUCATION is missing from the ESSENTIAL,2020-03-26 20:39,None
1.24328E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:39,None
1.24328E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:39,None
1.24328E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:38,None
1.24328E+18,RT    Liberty University welcomes students back to campus despite coronavirus outbreak,2020-03-26 20:38,None
1.24328E+18,RT    We encourage students to familiarize themselves with the full Howard University Student Association proposal regarding,2020-03-26 20:38,None
1.24328E+18,Any thoughts on help for university students  Uni has closed  they wan,2020-03-26 20:37,None
1.24328E+18,Almost no one wants to go to America  Not for the last number of years A hell,2020-03-26 20:37,None
1.24328E+18,RT    If university and college officials were worried that some of their students might not come back once they were moved,2020-03-26 20:37,None
1.24328E+18,RT   Allybeez  Nelson Mandela stated  Education is the most powerful weapon which you can use to change the world   Knowledge is POWER,2020-03-26 20:37,None
1.24328E+18,RT    If university and college officials were worried that some of their students might not come back once they were moved,2020-03-26 20:36,None
1.24328E+18,RT    Online Education is worthless  We are getting nothing from it  It s useless  One day of study at university is better than,2020-03-26 20:35,None
1.24328E+18,RT    I hope that  COVID19 serves as a reminder that Canada s public health system requires massive investments  and a strengt,2020-03-26 20:35,None
1.24328E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:35,None
1.24328E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:35,None
1.24328E+18,RT    HU Facts  Howard University operates a world class medical simulation center  6 000 square foot state of the art simulated lea,2020-03-26 20:35,None
1.24328E+18,RT    Online classes are just to cover the courses at university s end  In technical degrees where healthy questioning for u,2020-03-26 20:34,None
1.24328E+18,RT    Zoom University can suck it  All of these schools are trippen if they think students are just gonna get on some online cla,2020-03-26 20:34,None
1.24328E+18,Can you recommend anyone for this  Education job in  LomaLinda  CA  Click the link in our bio to see it and more  G,2020-03-26 20:34,"Place(_api=<tweepy.api.API object at 0x0000022D6BF6DC10>, id='f6abc2be7eacfe4e', url='https://api.twitter.com/1.1/geo/id/f6abc2be7eacfe4e.json', place_type='city', name='Loma Linda', full_name='Loma Linda, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D6BF6DC10>, type='Polygon', coordinates=[[[-117.2779324, 34.032777], [-117.2188429, 34.032777], [-117.2188429, 34.0667247], [-117.2779324, 34.0667247]]]), attributes={})"
1.24327E+18,RT    If university and college officials were worried that some of their students might not come back once they were moved,2020-03-26 20:33,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:33,None
